PRODUCT,DATE,Production ,Supply ,Utilization
CEREAL,2011/12,"2,357.60","2,922.10","2,321.00"
CEREAL,2012/13,"2,317.90","2,915.00","2,332.20"
CEREAL,2013/14,"2,557.50","3,151.50","2,449.10"
CEREAL,2014/15,"2,607.90","3,281.50","2,507.80"
CEREAL,2015/16,"2,583.20","3,353.90","2,550.50"
CEREAL,2016/17,"2,661.80","3,459.60","2,613.50"
CEREAL,2017/18,"2,696.90","3,540.90","2,649.50"
CEREAL,2018/19,"2,648.70","3,533.40","2,677.80"
CEREAL,2019/20,"2,710.90","3,582.80","2,689.40"
CEREAL,2020/21,"2,780.50","3,663.30","2,732.40"
WHEAT,2011/12,699,902.1,693.2
WHEAT,2012/13,658.6,862.5,682.4
WHEAT,2013/14,715.3,901.1,692.2
WHEAT,2014/15,735.2,935.6,708.2
WHEAT,2015/16,737.2,965.9,717
WHEAT,2016/17,764.9,"1,008.00",737.3
WHEAT,2017/18,761.6,"1,028.50",739.1
WHEAT,2018/19,732.1,"1,020.20",751.1
WHEAT,2019/20,762.2,"1,034.10",757.5
WHEAT,2020/21,758.3,"1,034.50",754.3
GRAIN,2011/12,"1,178.60","1,410.90","1,165.70"
GRAIN,2012/13,"1,174.40","1,421.00","1,180.70"
GRAIN,2013/14,"1,351.60","1,597.80","1,276.60"
GRAIN,2014/15,"1,382.60","1,684.30","1,312.80"
GRAIN,2015/16,"1,357.40","1,725.70","1,343.20"
GRAIN,2016/17,"1,400.40","1,783.10","1,382.10"
GRAIN,2017/18,"1,436.00","1,840.00","1,413.10"
GRAIN,2018/19,"1,410.30","1,830.60","1,426.80"
GRAIN,2019/20,"1,448.10","1,863.50","1,429.80"
GRAIN,2020/21,"1,513.50","1,936.60","1,468.00"
RICE,2011/12,480,609,462
RICE,2012/13,484.9,631.5,469.1
RICE,2013/14,490.6,652.6,480.2
RICE,2014/15,490.1,661.6,486.8
RICE,2015/16,488.6,662.2,490.3
RICE,2016/17,496.5,668.5,494.1
RICE,2017/18,499.4,672.3,497.3
RICE,2018/19,506.3,682.5,499.9
RICE,2019/20,500.6,685.2,502
RICE,2020/21,508.7,692.1,510
